mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.6030818621317546,0.0325516340507156,0.19276650746663412,0.005121112091654239,gini,15,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8106802721088434,0.8012672087492463,0.8312946133769379,0.8144140314116758,0.01253972291207411,4
1.7463590304056804,0.007985561394588479,0.20559120178222656,0.004078435643884914,gini,15,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.8108299319727892,0.8011918419642259,0.8319444881188222,0.8146554206852791,0.012842821193037297,3
1.5564827919006348,0.01534044980922504,0.19412493705749512,0.003871445708286131,gini,20,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8099215070643644,0.8024217860253234,0.8331540936867813,0.8151657955921564,0.01308295596496126,1
1.7215571403503418,0.005996212042883379,0.20203296343485513,0.003331502640747822,gini,20,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8099508110936682,0.8018094308970323,0.8324518096915192,0.8147373505607399,0.012959476959573696,2
1.5526858965555828,0.013331622845628905,0.18992185592651367,0.0028131503712575914,gini,25,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8084165358451073,0.8005104006163328,0.8316845382220684,0.8135371582278362,0.013231837717042255,6
1.7095069885253906,0.012626225185843953,0.20612541834513345,0.004306058555687549,gini,25,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.8088372579801152,0.8007187060360421,0.8319748854857815,0.8138436165006463,0.013242228102441767,5
1.2289079030354817,0.12177486654246053,0.0,0.0,entropylog_loss,15,100,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",,,,,,7
1.143422524134318,0.009625912398311644,0.0,0.0,entropylog_loss,15,200,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",,,,,,7
1.1474894682566326,0.005825868772406346,0.0,0.0,entropylog_loss,20,100,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",,,,,,7
1.195487419764201,0.07169265085926917,0.0,0.0,entropylog_loss,20,200,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",,,,,,7
1.1445915699005127,0.003936192556343155,0.0,0.0,entropylog_loss,25,100,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",,,,,,7
1.153580665588379,0.00804676628934214,0.0,0.0,entropylog_loss,25,200,"{'Model__criterion': 'entropylog_loss', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",,,,,,7
